Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower
423.7,424.19,423.65,424.02,983800,1192628,1
424.01,424.75,424.005,424.75,1081800,1185080,1
424.75,425.8,424.74,425.24,2161100,1198932,1
425.25,425.43,424.67,425.28,1261200,1201140,1
425.28,425.64,424.995,425.6,789100,1198362,1
425.6,425.94,425.23,425.835,1195400,1200460,1
425.82,426.415,425.51,426.28,1094900,1201610,1
426.28,427.2,426.21,427.06,1300300,1206058,0
427.06,427.3,426.44,426.94,1066700,1196686,0
426.95,426.99,426.19,426.49,739500,1178114,1
426.46,427.05,426.43,426.8601,655400,1152026,1
426.87,427.14,426.32,426.89,1144600,1090902,1
426.89,427.58,426.65,427.47,925700,989866,0
427.47,427.63,426.5,426.962,965800,954494,1
426.9501,427.55,426.769,427.39,671200,930844,0
427.3999,427.45,426.64,426.8,833500,920954,1
426.8,427.23,426.59,427.17,559100,904642,1
427.17,427.47,427.03,427.35,740400,892890,0
427.35,427.37,426.82,427.15,602900,888122,0
427.15,427.53,426.96,427.07,603500,870106,1
427.06,427.36,426.72,427.3499,530300,859650,1
427.34,427.68,426.97,427.6601,539600,850768,0
427.66,427.66,427.23,427.535,603400,837432,0
427.55,427.79,427.13,427.52,1114000,840610,1
427.52,427.94,427.42,427.82,815900,827178,1
427.83,428.41,427.81,428.37,1024400,820170,1
428.365,428.825,428.3,428.819,1020700,824658,0
428.815,429.1999,428.32,428.325,1155300,832112,1
428.325,428.76,428.2,428.65,794200,830276,1
428.65,429.03,428.3,428.6999,1262200,841976,1
428.6999,429.169,428.66,429.03,798800,840510,0
429.03,429.06,428.48,428.635,895800,842352,1
428.63,429.11,428.45,429.105,738400,839092,1
429.105,429.64,428.97,429.5983,1111700,847404,0
429.5983,429.6,428.72,428.77,1225400,847868,0
428.78,428.87,428.03,428.14,1536600,866884,0
428.14,428.4099,427.5699,427.99,1648000,886132,0
427.97,428.56,427.47,427.62,1346300,897434,0
427.62,428.17,427.04,427.55,2193600,929624,0
427.54,427.6,426.65,427.19,3323300,984910,1
427.19,427.9,426.37,427.8,7584400,1124848,0
423.56,424.67,422.68,424.443,2584800,1162596,0
424.45,424.88,423.31,423.83,1557500,1185826,0
423.82,424.22,422.69,422.86,1220300,1200096,1
422.86,423.66,422.575,423.38,1143500,1212636,1
423.38,424,422.93,423.5556,1052800,1224464,1
423.57,425.87,423.54,425.71,1864200,1245450,0
425.71,425.86,424.8675,424.915,1110100,1254310,0
424.915,425.1155,424.02,424.52,1041800,1257606,0
424.52,424.94,423.9701,424.27,898600,1262236,0
424.27,424.99,422.14,422.38,1326400,1269088,0
422.38,422.63,421.66,421.94,1498600,1277424,0
421.9443,422.2099,420.9758,421.18,1143300,1257068,0
421.18,421.41,420.95,421.03,1140800,1254660,1
421.03,421.25,420.38,421.04,1292100,1264720,0
421.04,421.11,420.34,420.8082,969500,1260202,0
420.8082,420.84,420.15,420.28,1564100,1269586,1
420.28,420.62,419.93,420.45,1046900,1264518,1
420.45,420.91,420.28,420.76,1060000,1264384,0
420.76,420.76,419.94,420.489,978700,1269168,0
420.47,421.2,420.21,420.32,879300,1273646,0
420.32,420.62,419.6,420.3,837000,1267494,1
420.29,420.61,420.03,420.54,663300,1262246,1
420.54,421.09,420.14,420.79,886900,1260668,1
420.79,421,420.34,420.94,904400,1265332,1
420.91,421.985,420.64,421.35,1175700,1272176,0
421.35,421.71,420.94,420.96,751900,1276032,1
420.95,421.67,420.74,421.55,776100,1276746,0
421.55,422.13,421.25,421.4,990400,1284496,1
421.4,421.65,420.93,421.43,889400,1290214,0
421.43,421.57,420.404,420.45,745800,1294524,0
420.45,420.56,419.12,419.21,980300,1303338,0
419.21,419.37,418.88,418.98,775500,1306780,1
418.98,419.46,418.91,419.2501,800100,1300502,0
419.26,419.26,418.75,418.915,724900,1298682,1
418.915,419.33,418.68,419.32,1099100,1300176,0
419.32,419.56,418.645,418.83,685000,1293462,0
418.83,418.95,418.422,418.67,547800,1281312,1
418.695,418.92,418.46,418.71,551300,1276454,0
418.71,418.81,418.04,418.1,889500,1269000,0
418.105,418.44,418.015,418.09,641300,1265850,0
418.0835,418.11,417.21,417.28,1391600,1275766,1
417.26,417.94,417.26,417.679,1275300,1286504,1
417.66,418.65,417.62,418.41,1051200,1285294,0
418.41,418.46,417.49,417.6477,757500,1275936,1
417.6477,418.09,417.52,418.06,647400,1258152,1
418.06,418.5,417.955,418.31,768300,1240558,1
418.31,418.975,418.08,418.895,799800,1229628,0
418.9,419.44,418.62,418.645,785700,1201470,1
418.645,419.26,418.61,418.99,782500,1150654,1
418.96,419.78,418.84,419.1,906400,1017094,0
419.08,419.16,418.09,418.265,784100,981080,0
418.2583,418.33,417.76,417.84,626200,962454,0
417.84,418.12,417.72,417.76,765200,953352,0
417.76,417.92,417.57,417.66,702800,944538,0
417.66,417.8,417.1,417.23,958500,942652,0
417.23,417.34,416.95,417.01,1283100,931030,1
417.01,417.45,416.73,417.19,778700,924402,1
417.19,418.06,417.18,417.305,968900,922944,0
417.32,417.35,416.52,416.67,818300,921338,1
416.67,416.99,416.6,416.745,836700,911544,0
416.745,417.04,416.39,416.57,844800,898468,0
416.57,416.85,415.85,415.925,1080000,897202,1
415.92,416.27,415.86,416.2499,878800,891962,0
416.25,416.28,415.3,415.33,1232500,890770,0
415.33,415.49,415.01,415.0314,1282100,897022,1
415.0314,415.91,414.83,415.66,1649700,898734,0
415.66,415.74,415.055,415.49,1376500,905326,0
415.48,415.485,414.53,414.58,1455800,913242,0
414.56,414.83,413.9,414.115,1748800,928644,1
414.115,415.125,414.04,415.1,1970200,950462,0
415.1,415.16,414.35,414.885,1775100,969224,0
414.91,415.2,414.01,414.07,1735000,990658,1
414.07,414.97,413.82,414.58,2695000,1026820,1
414.58,415.13,414.14,414.63,2776700,1064266,0
414.615,415.15,414.01,414.08,2829500,1097342,0
414.06,414.27,412.76,412.84,5208800,1186480,0
412.84,412.84,411.51,411.87,8070200,1332362,1
411.86,412.46,411.21,412.05,13135400,1575262,0
412.01,413.07,410.97,411.04,2996100,1617396,0
411.04,411.1,409.32,410.45,2761300,1657706,1
410.45,413.04,409.25,412.06,2845200,1695004,0
412.06,412.89,410.9476,411.5,2018300,1719860,1
411.495,412.6,410.84,412.505,1850000,1740858,0
412.505,413.37,411.78,412.34,1725400,1760868,1
412.34,413.19,411.476,413.01,1799300,1774872,0
413,413.0533,410.54,410.87,1617200,1793516,1
410.87,411.612,410.38,410.98,1456500,1811690,1
410.98,412.47,410.35,412.1899,1241200,1825488,1
412.1899,413.57,411.42,413.2701,1580500,1839308,1
413.31,414.9513,413.1,414.46,2775600,1881994,1
414.44,415.92,414.42,415.15,1961100,1893384,0
415.15,415.34,414.0601,414.71,1674500,1901368,0
414.71,415.51,413.86,414.07,1503500,1910414,0
414.07,414.38,413.54,413.86,1303900,1921342,0
413.88,413.98,413.07,413.23,1387300,1936140,0
413.23,413.93,412.28,412.41,1493100,1950636,0
412.41,412.62,410.87,410.89,1536800,1965376,1
410.91,412.05,410.81,411.74,1498100,1979624,1
411.74,412.32,411.12,412.295,1227600,1988526,0
412.28,412.32,410.13,410.52,1506500,2000528,1
410.52,411.07,410.15,410.86,1077300,2006392,0
410.88,411.43,410,410.58,1246000,2018788,1
410.58,411.4,409.88,410.95,1720700,2037898,0
410.95,411.8,410.15,410.28,1270500,2049252,1
410.26,411.23,409.8,410.56,1354400,2057170,0
410.56,411.31,410.26,410.56,846900,2048446,1
410.56,411.29,410.36,411.05,792900,2048730,1
411.05,411.86,410.69,411.76,1239200,2054136,0
411.76,412.22,409.77,410.23,1345600,2064682,1
410.23,410.58,409.81,410.46,835500,2064658,1
410.46,410.76,410.13,410.63,627900,2060320,1
410.63,411.87,410.31,411.825,1014600,2059012,0
411.825,412.56,411.54,411.6576,1115500,2063746,0
411.6526,411.81,410.88,411.51,671400,2052524,1
411.51,411.96,411.11,411.89,739300,2041668,0
411.89,412.27,410.72,410.83,793700,2024548,0
410.83,411.25,410.37,410.51,655400,2010126,0
410.51,410.74,410.06,410.3101,745200,1995914,0
410.3101,410.44,409.4,409.58,910200,1979142,0
409.58,410.13,408.68,408.99,1432000,1968378,0
408.98,409.26,408.03,408.4035,1417000,1961216,1
408.4035,409.77,408.271,409.33,1375400,1954024,1
409.31,410.08,409.13,409.7236,748100,1915086,0
409.7236,409.79,409.013,409.28,654300,1872638,0
409.28,409.36,408.6,408.69,640300,1828854,0
408.69,409.25,408.22,408.67,785600,1740390,0
408.67,409.34,408.06,408.1671,1136000,1601706,0
408.15,408.53,407.85,408.08,1310600,1365210,0
408.08,408.55,407.61,407.61,855100,1322390,0
407.61,407.87,407.01,407.08,1375000,1294664,0
407.07,407.48,406.92,407.03,1215900,1262078,1
407.03,407.72,407,407.65,1280100,1247314,1
407.65,408.4798,407.03,408.47,2025400,1250822,0
408.45,408.82,407.56,407.56,1223600,1240786,0
407.56,407.6799,406.17,406.26,1149700,1227794,0
406.26,406.35,405.8,405.91,1975800,1234966,1
405.9,406.71,405.75,406.43,1366700,1233170,0
406.43,406.64,406.02,406.285,1225100,1232848,1
406.285,406.93,406.01,406.64,1853200,1238302,0
406.65,406.79,406,406.34,1331000,1209410,0
406.34,406.59,405.02,405.5,1580300,1201794,1
405.5016,406.92,405.5016,406.71,1589600,1200096,1
406.7,407.72,406.02,407.1934,2122700,1212480,0
407.1934,407.43,406.02,406.46,1739900,1221200,1
406.46,408,406.32,407.69,1638800,1226230,1
407.7,409.19,407.52,408.82,1980100,1235970,1
408.82,410.44,408.7801,410.38,2416700,1253568,1
410.39,410.83,409.76,410.5629,2353000,1270666,1
410.5629,412.21,410.5629,412.01,2259600,1291306,0
412.01,412.54,411.52,411.91,2416500,1309506,1
411.91,413.71,411.84,413.64,2874800,1345456,0
413.64,413.91,412.25,412.6,2776800,1376072,0
412.6,413.53,411.71,411.75,2520500,1392068,1
411.75,413.64,411.55,413.56,2567700,1418012,1
413.56,414.41,413.12,414.19,6143600,1513796,1
414.19,414.66,413.684,414.5,5747700,1611812,1
414.91,415.7117,413.93,415.36,2880900,1653572,0
415.36,415.4,413.78,413.98,2186000,1672508,1
413.99,415.36,413.9001,414.42,1682700,1679250,0
414.4,414.52,413.36,414.02,1689500,1696330,1
414.02,415.08,413.71,414.8101,2012500,1724022,1
414.8101,415.55,414.27,415.42,1803100,1739792,1
415.42,416.27,415.42,415.982,1840300,1754288,0
415.982,416.235,414.08,414.3311,1727000,1775400,1
414.32,415.32,413.78,415.07,1618700,1792988,0
415.07,415.17,414.065,415.06,1298800,1803090,0
415.06,415.46,414.3,414.87,1098300,1811948,1
414.87,416.04,414.62,415.72,1493700,1826918,1
