Date,15:55 Last,14:50:00 Open,14:55:00 Open,15:00:00 Open,15:05:00 Open,15:10:00 Open,15:15:00 Open,15:20:00 Open,15:25:00 Open,15:30:00 Open,15:35:00 Open,15:40:00 Open,15:45:00 Open,15:50:00 Open,15:55:00 Open,14:50:00 High,14:55:00 High,15:00:00 High,15:05:00 High,15:10:00 High,15:15:00 High,15:20:00 High,15:25:00 High,15:30:00 High,15:35:00 High,15:40:00 High,15:45:00 High,15:50:00 High,15:55:00 High,14:50:00 Low,14:55:00 Low,15:00:00 Low,15:05:00 Low,15:10:00 Low,15:15:00 Low,15:20:00 Low,15:25:00 Low,15:30:00 Low,15:35:00 Low,15:40:00 Low,15:45:00 Low,15:50:00 Low,15:55:00 Low,14:50:00 Last,14:55:00 Last,15:00:00 Last,15:05:00 Last,15:10:00 Last,15:15:00 Last,15:20:00 Last,15:25:00 Last,15:30:00 Last,15:35:00 Last,15:40:00 Last,15:45:00 Last,15:50:00 Last,15:55:00 Last,14:50:00 Change,14:55:00 Change,15:00:00 Change,15:05:00 Change,15:10:00 Change,15:15:00 Change,15:20:00 Change,15:25:00 Change,15:30:00 Change,15:35:00 Change,15:40:00 Change,15:45:00 Change,15:50:00 Change,15:55:00 Change,14:50:00 %Chg,14:55:00 %Chg,15:00:00 %Chg,15:05:00 %Chg,15:10:00 %Chg,15:15:00 %Chg,15:20:00 %Chg,15:25:00 %Chg,15:30:00 %Chg,15:35:00 %Chg,15:40:00 %Chg,15:45:00 %Chg,15:50:00 %Chg,15:55:00 %Chg,14:50:00 Volume,14:55:00 Volume,15:00:00 Volume,15:05:00 Volume,15:10:00 Volume,15:15:00 Volume,15:20:00 Volume,15:25:00 Volume,15:30:00 Volume,15:35:00 Volume,15:40:00 Volume,15:45:00 Volume,15:50:00 Volume,15:55:00 Volume
2022-03-28,455.84,453.52,453.89,454.41,453.96,454.1011,454.27,454.07,454.505,454.48,454.8534,454.515,454.9,455.22,455.0,453.96,454.42,454.47,454.2,454.3,454.38,454.5877,454.58,454.89,454.91,454.93,455.25,455.24,455.91,453.52,453.82,453.87,453.91,453.99,454.04,454.03,454.36,454.4,454.45,454.37,454.69,454.33,454.84,453.885,454.41,453.96,454.1,454.265,454.05,454.5,454.48,454.87,454.515,454.8922,455.24,455.0,455.84,0.365,0.525,-0.45,0.14,0.165,-0.215,0.45,-0.02,0.39,-0.355,0.3772,0.3478,-0.24,0.84,0.08%,0.12%,-0.10%,0.03%,0.04%,-0.05%,0.10%,0.00%,0.09%,-0.08%,0.08%,0.08%,-0.05%,0.18%,724428.0,828121.0,720146.0,407955.0,474147.0,504691.0,684910.0,448825.0,940003.0,800114.0,989592.0,1274290.0,2651101.0,5189076.0
2022-03-29,461.53,460.46,460.555,460.5618,460.87,461.13,461.1,461.27,461.18,461.53,461.9,461.55,461.545,461.57,460.95,460.71,460.84,460.9,461.21,461.42,461.309,461.44,461.54,461.92,462.07,461.65,461.95,461.76,461.62,460.28,460.375,460.31,460.83,461.08,460.96,461.07,461.0,461.34,461.51,461.075,461.36,460.5909,460.73,460.55,460.57,460.865,461.13,461.0912,461.27,461.18,461.515,461.895,461.555,461.5499,461.57,460.945,461.53,0.08,0.02,0.295,0.265,-0.0388,0.1788,-0.09,0.335,0.38,-0.34,-0.0051,0.0201,-0.625,0.585,0.02%,0.00%,0.06%,0.06%,-0.01%,0.04%,-0.02%,0.07%,0.08%,-0.07%,0.00%,0.00%,-0.14%,0.13%,591864.0,567746.0,1328048.0,733762.0,948643.0,913455.0,1193944.0,1029182.0,1065426.0,1327922.0,1224283.0,1532249.0,2303127.0,5755024.0
2022-03-30,458.79,458.19,458.1,457.89,457.695,457.62,457.66,457.16,456.57,457.16,457.41,457.23,457.28,457.83,457.16,458.3199,458.38,457.9798,457.88,457.73,457.79,457.16,457.27,457.66,457.86,457.64,458.26,457.89,458.79,457.98,457.78,457.67,457.53,457.31,456.99,456.465,456.47,456.96,457.2,456.87,457.28,457.05,457.155,458.0901,457.875,457.7,457.62,457.67,457.17,456.57,457.16,457.43,457.25,457.28,457.83,457.13,458.79,-0.0899,-0.2151,-0.175,-0.08,0.05,-0.5,-0.6,0.59,0.27,-0.18,0.03,0.55,-0.7,1.66,-0.02%,-0.05%,-0.04%,-0.02%,0.01%,-0.11%,-0.13%,0.13%,0.06%,-0.04%,0.01%,0.12%,-0.15%,0.36%,422457.0,929330.0,850956.0,769795.0,641698.0,733535.0,781350.0,1140128.0,987753.0,1086704.0,1172721.0,1407078.0,2508913.0,5168919.0
2022-03-31,452.11,456.005,456.07,456.6,456.91,456.97,456.56,456.18,455.6,455.52,454.82,455.11,454.275,454.18,453.09,456.24,456.62,457.36,457.18,457.03,456.59,456.18,455.73,455.655,455.41,455.12,454.75,454.31,453.38,455.95,455.99,456.6,456.75,456.46,456.1,455.5,455.26,454.64,454.65,454.22,454.115,453.07,451.16,456.07,456.58,456.9,456.98,456.555,456.1902,455.6,455.52,454.82,455.11,454.27,454.18,453.09,452.11,0.0511,0.51,0.32,0.08,-0.425,-0.3648,-0.5902,-0.08,-0.7,0.29,-0.84,-0.09,-1.09,-0.98,0.01%,0.11%,0.07%,0.02%,-0.09%,-0.08%,-0.13%,-0.02%,-0.15%,0.06%,-0.18%,-0.02%,-0.24%,-0.22%,487262.0,723139.0,993048.0,762440.0,612002.0,760986.0,1175586.0,1158221.0,1714287.0,1922330.0,1396030.0,2361349.0,6626315.0,17474886.0
2022-04-01,452.92,452.26,452.03,451.8,452.155,451.88,451.78,450.8699,450.9,451.07,450.575,450.61,450.56,451.07,452.53,452.31,452.25,452.5,452.469,452.04,452.0,451.14,451.18,451.31,450.75,451.13,451.14,452.76,453.19,451.94,451.63,451.7,451.81,451.36,450.865,450.6284,450.81,450.37,450.31,450.34,450.32,451.07,452.39,452.0399,451.7966,452.1582,451.88,451.79,450.865,450.9,451.0799,450.575,450.62,450.56,451.07,452.54,452.92,-0.2201,-0.2433,0.3616,-0.2782,-0.09,-0.925,0.035,0.1799,-0.5049,0.045,-0.06,0.51,1.47,0.38,-0.05%,-0.05%,0.08%,-0.06%,-0.02%,-0.20%,0.01%,0.04%,-0.11%,0.01%,-0.01%,0.11%,0.33%,0.08%,402836.0,558729.0,531443.0,433087.0,540801.0,651631.0,875518.0,622692.0,771462.0,805298.0,1129957.0,989600.0,4309054.0,7900152.0
2022-04-04,456.91,455.99,456.225,456.04,456.08,456.17,456.16,456.015,456.315,456.11,456.14,456.252,455.88,456.16,456.53,456.24,456.26,456.13,456.31,456.315,456.2,456.36,456.35,456.2917,456.34,456.41,456.44,456.78,456.91,455.87,456.01,455.835,456.02,455.9,455.94,456.015,456.015,455.975,456.08,455.87,455.73,456.13,455.96,456.225,456.06,456.075,456.165,456.1699,456.01,456.315,456.1,456.15,456.26,455.9,456.121,456.53,456.91,0.235,-0.165,0.015,0.09,0.0049,-0.1599,0.305,-0.215,0.05,0.11,-0.36,0.221,0.409,0.38,0.05%,-0.04%,0.00%,0.02%,0.00%,-0.04%,0.07%,-0.05%,0.01%,0.02%,-0.08%,0.05%,0.09%,0.08%,363038.0,314942.0,490686.0,433079.0,439425.0,304500.0,459030.0,263301.0,537173.0,594834.0,791495.0,1154423.0,2221991.0,5173803.0
2022-04-05,451.15,452.94,452.93,452.5,452.13,451.88,451.41,451.28,451.84,451.4,450.75,450.68,450.83,450.03,450.91,453.14,453.17,452.77,452.2,451.95,451.61,451.86,451.85,451.4,450.97,450.9399,450.89,451.33,451.25,452.82,452.375,452.1,451.73,451.27,451.17,451.05,451.34,450.72,450.5,450.471,449.96,449.82,450.49,452.93,452.51,452.1238,451.87,451.42,451.28,451.8499,451.4002,450.76,450.66,450.8119,450.03,450.89,451.15,-0.02,-0.42,-0.3862,-0.2538,-0.45,-0.14,0.5699,-0.4497,-0.6402,-0.1,0.1519,-0.7819,0.86,0.26,0.00%,-0.09%,-0.09%,-0.06%,-0.10%,-0.03%,0.13%,-0.10%,-0.14%,-0.02%,0.03%,-0.17%,0.19%,0.06%,297116.0,507320.0,769419.0,850775.0,1076622.0,789146.0,1045954.0,618716.0,1301679.0,1219192.0,1153022.0,1771488.0,2531652.0,5295354.0
2022-04-06,446.56,446.1,447.07,447.99,448.65,447.73,447.88,447.14,446.35,445.67,445.56,446.65,446.74,447.62,446.63,447.28,448.04,448.93,448.66,448.25,448.3599,447.29,446.45,446.19,446.75,446.96,447.9,448.0,447.7,446.08,447.07,447.99,447.28,447.41,447.11,446.21,445.59,445.3243,445.36,446.17,446.55,446.59,446.36,447.06,447.975,448.64,447.74,447.87,447.13,446.34,445.68,445.55,446.64,446.755,447.62,446.63,446.56,0.97,0.915,0.665,-0.9,0.13,-0.74,-0.79,-0.66,-0.13,1.09,0.115,0.865,-0.99,-0.07,0.22%,0.20%,0.15%,-0.20%,0.03%,-0.17%,-0.18%,-0.15%,-0.03%,0.24%,0.03%,0.19%,-0.22%,-0.02%,953594.0,1191962.0,1571830.0,1201373.0,838827.0,1282074.0,1140525.0,1159744.0,1609722.0,1845696.0,1176743.0,1520951.0,1938166.0,4937549.0
2022-04-07,448.79,448.07,448.49,449.25,449.73,449.99,450.34,449.88,449.43,449.3,450.04,450.17,450.29,449.87,449.22,448.62,449.47,449.98,450.08,450.35,450.52,449.88,449.715,450.09,450.17,450.49,450.69,450.11,449.22,447.91,448.48,449.0831,449.51,449.81,449.8001,449.16,449.14,449.16,449.73,449.82,449.6,449.05,448.44,448.4801,449.24,449.73,450.0,450.33,449.9063,449.42,449.29,450.04,450.16,450.28,449.885,449.23,448.79,0.4201,0.7599,0.49,0.27,0.33,-0.4237,-0.4863,-0.13,0.75,0.12,0.12,-0.395,-0.655,-0.44,0.09%,0.17%,0.11%,0.06%,0.07%,-0.09%,-0.11%,-0.03%,0.17%,0.03%,0.03%,-0.09%,-0.15%,-0.10%,779601.0,1200915.0,1390421.0,1256267.0,878376.0,1013213.0,1166565.0,739314.0,845059.0,985084.0,917139.0,1583658.0,2055736.0,5882148.0
2022-04-08,447.77,448.4,448.95,448.62,448.5099,448.29,448.71,448.63,448.68,448.89,448.37,448.07,448.66,447.78,447.2,449.1299,449.01,448.75,448.73,449.25,449.37,448.89,448.94,449.14,448.42,448.68,448.83,448.13,447.87,448.325,448.49,448.39,448.17,448.13,448.56,448.39,448.65,448.36,448.01,447.92,447.77,447.07,446.68,448.98,448.61,448.5,448.3,448.73,448.68,448.69,448.8999,448.39,448.06,448.655,447.785,447.21,447.77,0.5702,-0.37,-0.11,-0.2,0.43,-0.05,0.01,0.2099,-0.5099,-0.33,0.595,-0.87,-0.575,0.56,0.13%,-0.08%,-0.02%,-0.04%,0.10%,-0.01%,0.00%,0.05%,-0.11%,-0.07%,0.13%,-0.19%,-0.13%,0.13%,462012.0,344231.0,374221.0,386937.0,663334.0,562299.0,446569.0,354826.0,733402.0,632462.0,761626.0,1129402.0,2399352.0,7111053.0
2022-04-11,440.12,442.38,442.33,442.46,442.01,442.19,441.85,441.64,441.4,440.95,440.37,440.54,440.34,440.07,439.55,442.79,442.59,443.0,442.19,442.37,441.94,441.67,441.48,441.02,440.59,440.83,440.48,440.55,440.14,442.26,442.31,441.97,441.765,441.8,441.5,441.39,440.86,440.34,440.2,440.21,440.0,439.49,439.39,442.35,442.44,442.0199,442.15,441.83,441.6543,441.415,440.96,440.3701,440.54,440.35,440.07,439.55,440.12,-0.03,0.09,-0.4201,0.1301,-0.32,-0.1757,-0.2393,-0.455,-0.5899,0.1699,-0.19,-0.28,-0.52,0.57,-0.01%,0.02%,-0.09%,0.03%,-0.07%,-0.04%,-0.05%,-0.10%,-0.13%,0.04%,-0.04%,-0.06%,-0.12%,0.13%,898584.0,421335.0,799177.0,596494.0,464169.0,583323.0,536444.0,948254.0,1453485.0,1139010.0,1366252.0,1796118.0,2557093.0,9156785.0
2022-04-12,438.12,438.89,438.97,438.81,437.79,437.12,437.08,437.44,437.61,437.0599,436.95,437.93,437.68,438.36,438.44,439.08,439.29,439.03,437.96,437.41,437.43,437.96,437.61,437.29,438.12,438.24,438.78,438.63,438.78,438.47,438.68,437.69,437.08,436.88,436.94,437.4,436.6501,436.68,436.83,437.58,437.37,437.82,438.06,438.99,438.83,437.79,437.12,437.08,437.43,437.62,437.06,436.9498,437.93,437.68,438.38,438.43,438.12,0.07,-0.16,-1.04,-0.67,-0.04,0.35,0.19,-0.56,-0.1102,0.9802,-0.25,0.7,0.05,-0.31,0.02%,-0.04%,-0.24%,-0.15%,-0.01%,0.08%,0.04%,-0.13%,-0.03%,0.22%,-0.06%,0.16%,0.01%,-0.07%,610053.0,808821.0,1275195.0,1336743.0,1020273.0,969666.0,1072607.0,1184180.0,1065886.0,1292722.0,1155286.0,1899993.0,1583194.0,4622807.0
2022-04-13,443.3,442.86,442.81,442.805,442.55,443.19,443.15,443.45,443.54,443.49,443.81,443.89,443.84,443.93,443.35,443.0,443.0,442.905,443.27,443.27,443.52,443.54,443.58,443.9,443.96,443.94,444.08,444.11,443.6,442.75,442.77,442.29,442.53,442.99,443.13,443.2896,443.24,443.355,443.52,443.64,443.685,443.15,443.02,442.815,442.8,442.55,443.19,443.15,443.47,443.54,443.485,443.805,443.89,443.825,443.94,443.3494,443.3,-0.03,-0.015,-0.25,0.64,-0.04,0.32,0.07,-0.055,0.32,0.085,-0.065,0.115,-0.5906,-0.0494,-0.01%,0.00%,-0.06%,0.14%,-0.01%,0.07%,0.02%,-0.01%,0.07%,0.02%,-0.01%,0.03%,-0.13%,-0.01%,371205.0,388874.0,604600.0,852600.0,582502.0,573179.0,491162.0,630865.0,1097561.0,1195865.0,1174594.0,1284279.0,1875173.0,4390587.0
2022-04-14,437.83,440.5,439.74,439.34,439.52,438.98,439.19,439.82,439.6,439.26,438.7,438.62,439.13,438.78,438.37,440.5625,439.74,439.71,439.65,439.24,439.97,440.0,439.6217,439.28,438.96,439.16,439.22,438.79,438.58,439.6,439.33,439.16,438.96,438.88,439.19,439.5,439.11,438.67,438.56,438.51,438.65,438.05,437.68,439.74,439.34,439.52,438.98,439.19,439.84,439.62,439.25,438.7,438.635,439.14,438.79,438.37,437.83,-0.7599,-0.4,0.18,-0.54,0.21,0.65,-0.22,-0.37,-0.55,-0.065,0.505,-0.35,-0.42,-0.54,-0.17%,-0.09%,0.04%,-0.12%,0.05%,0.15%,-0.05%,-0.08%,-0.13%,-0.01%,0.12%,-0.08%,-0.10%,-0.12%,708191.0,670948.0,722680.0,600238.0,619317.0,834817.0,670376.0,646912.0,1068913.0,1087735.0,948132.0,1433978.0,3541203.0,8117036.0
2022-04-18,437.97,438.67,438.87,438.38,438.1,437.995,437.78,437.6,437.29,437.075,436.3,436.16,436.33,435.86,436.49,439.12,438.91,438.56,438.4,438.3589,438.05,437.85,437.34,437.075,436.41,436.59,436.33,436.65,438.02,438.565,438.33,438.04,437.89,437.53,437.52,437.155,437.03,436.19,435.99,435.87,435.76,435.63,436.4209,438.91,438.37,438.085,437.99,437.78,437.58,437.28,437.07,436.31,436.1599,436.35,435.865,436.485,437.97,0.199,-0.54,-0.285,-0.095,-0.21,-0.2,-0.3,-0.21,-0.76,-0.1501,0.1901,-0.485,0.62,1.485,0.05%,-0.12%,-0.07%,-0.02%,-0.05%,-0.05%,-0.07%,-0.05%,-0.17%,-0.03%,0.04%,-0.11%,0.14%,0.34%,332571.0,494218.0,378543.0,338638.0,514913.0,436409.0,649909.0,670239.0,1141834.0,783763.0,895523.0,1405452.0,1593216.0,4203067.0
2022-04-19,445.07,443.54,443.51,443.78,443.71,444.17,444.95,445.1,445.285,445.13,445.23,445.46,444.92,444.79,444.92,443.86,443.86,443.96,444.18,444.97,445.24,445.35,445.35,445.55,445.67,445.46,444.98,445.8,445.27,443.395,443.49,443.63,443.53,443.9999,444.8841,444.93,445.03,445.03,445.16,444.78,444.465,444.79,444.23,443.4999,443.785,443.7,444.16,444.94,445.09,445.285,445.11,445.2499,445.46,444.91,444.79,444.925,445.07,-0.0202,0.2851,-0.085,0.46,0.78,0.15,0.195,-0.175,0.1399,0.2101,-0.55,-0.12,0.135,0.145,0.00%,0.06%,-0.02%,0.10%,0.18%,0.03%,0.04%,-0.04%,0.03%,0.05%,-0.12%,-0.03%,0.03%,0.03%,388476.0,466958.0,448371.0,430696.0,1104609.0,807784.0,935239.0,688735.0,1105483.0,945920.0,1130924.0,1704083.0,2664937.0,8201871.0
