Open,High,Low,Close,Volume ,Moving Average 50,NextHigherorLower,Open1Prev,High1Prev,Low1Prev,Close1Prev,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
421.32,421.59,420.49,420.82,1407500,1369032,1,421.58,422.2,420.97,421.32,422.4633,422.58,421.47,421.58,421.83,422.49,421.47,422.4633,422.155,422.39,421.43,421.83
420.81,421.69,420.7,421.64,1151700,1375780,0,421.32,421.59,420.49,420.82,421.58,422.2,420.97,421.32,422.4633,422.58,421.47,421.58,421.83,422.49,421.47,422.4633
421.6276,421.9499,421.04,421.17,810200,1372802,0,420.81,421.69,420.7,421.64,421.32,421.59,420.49,420.82,421.58,422.2,420.97,421.32,422.4633,422.58,421.47,421.58
421.1901,421.4601,420.9601,421.0701,787000,1368326,0,421.6276,421.9499,421.04,421.17,420.81,421.69,420.7,421.64,421.32,421.59,420.49,420.82,421.58,422.2,420.97,421.32
421.04,421.07,420.4301,420.4901,933500,1375914,1,421.1901,421.4601,420.9601,421.0701,421.6276,421.9499,421.04,421.17,420.81,421.69,420.7,421.64,421.32,421.59,420.49,420.82
420.49,420.75,420.21,420.62,975100,1381014,1,421.04,421.07,420.4301,420.4901,421.1901,421.4601,420.9601,421.0701,421.6276,421.9499,421.04,421.17,420.81,421.69,420.7,421.64
420.62,421.22,420.45,421.21,964700,1382094,0,420.49,420.75,420.21,420.62,421.04,421.07,420.4301,420.4901,421.1901,421.4601,420.9601,421.0701,421.6276,421.9499,421.04,421.17
421.21,421.215,420.26,420.3,780200,1385904,1,420.62,421.22,420.45,421.21,420.49,420.75,420.21,420.62,421.04,421.07,420.4301,420.4901,421.1901,421.4601,420.9601,421.0701
420.3,421.55,420.17,420.99,1068400,1392688,0,421.21,421.215,420.26,420.3,420.62,421.22,420.45,421.21,420.49,420.75,420.21,420.62,421.04,421.07,420.4301,420.4901
420.99,421.31,420.7452,420.8416,611900,1395540,0,420.3,421.55,420.17,420.99,421.21,421.215,420.26,420.3,420.62,421.22,420.45,421.21,420.49,420.75,420.21,420.62
420.83,421.24,420.32,420.68,866300,1395800,0,420.99,421.31,420.7452,420.8416,420.3,421.55,420.17,420.99,421.21,421.215,420.26,420.3,420.62,421.22,420.45,421.21
420.7,420.78,419.78,420.33,1315600,1407682,1,420.83,421.24,420.32,420.68,420.99,421.31,420.7452,420.8416,420.3,421.55,420.17,420.99,421.21,421.215,420.26,420.3
420.33,420.51,419.61,420.4699,984600,1409416,0,420.7,420.78,419.78,420.33,420.83,421.24,420.32,420.68,420.99,421.31,420.7452,420.8416,420.3,421.55,420.17,420.99
420.4699,420.71,420.14,420.46,602400,1405398,0,420.33,420.51,419.61,420.4699,420.7,420.78,419.78,420.33,420.83,421.24,420.32,420.68,420.99,421.31,420.7452,420.8416
420.46,420.72,420.18,420.21,685200,1398924,0,420.4699,420.71,420.14,420.46,420.33,420.51,419.61,420.4699,420.7,420.78,419.78,420.33,420.83,421.24,420.32,420.68
420.21,420.23,419.41,419.445,821100,1393068,1,420.46,420.72,420.18,420.21,420.4699,420.71,420.14,420.46,420.33,420.51,419.61,420.4699,420.7,420.78,419.78,420.33
419.445,419.949,419.44,419.84,755700,1381248,1,420.21,420.23,419.41,419.445,420.46,420.72,420.18,420.21,420.4699,420.71,420.14,420.46,420.33,420.51,419.61,420.4699
419.84,420.57,419.71,420.4701,702400,1359678,1,419.445,419.949,419.44,419.84,420.21,420.23,419.41,419.445,420.46,420.72,420.18,420.21,420.4699,420.71,420.14,420.46
420.4701,420.65,420.13,420.56,651900,1354518,1,419.84,420.57,419.71,420.4701,419.445,419.949,419.44,419.84,420.21,420.23,419.41,419.445,420.46,420.72,420.18,420.21
420.56,421.12,420.54,420.9299,882200,1347632,1,420.4701,420.65,420.13,420.56,419.84,420.57,419.71,420.4701,419.445,419.949,419.44,419.84,420.21,420.23,419.41,419.445
420.9299,421.669,420.91,421.31,842300,1343148,1,420.56,421.12,420.54,420.9299,420.4701,420.65,420.13,420.56,419.84,420.57,419.71,420.4701,419.445,419.949,419.44,419.84
421.31,422.27,421.27,421.99,1114300,1340906,0,420.9299,421.669,420.91,421.31,420.56,421.12,420.54,420.9299,420.4701,420.65,420.13,420.56,419.84,420.57,419.71,420.4701
421.99,422.2369,421.41,421.58,697100,1335638,0,421.31,422.27,421.27,421.99,420.9299,421.669,420.91,421.31,420.56,421.12,420.54,420.9299,420.4701,420.65,420.13,420.56
421.58,421.85,420.9,420.9901,543200,1325272,1,421.99,422.2369,421.41,421.58,421.31,422.27,421.27,421.99,420.9299,421.669,420.91,421.31,420.56,421.12,420.54,420.9299
420.9901,421.36,420.78,421.08,653100,1306226,0,421.58,421.85,420.9,420.9901,421.99,422.2369,421.41,421.58,421.31,422.27,421.27,421.99,420.9299,421.669,420.91,421.31
421.08,421.15,420.57,420.6999,473900,1288936,1,420.9901,421.36,420.78,421.08,421.58,421.85,420.9,420.9901,421.99,422.2369,421.41,421.58,421.31,422.27,421.27,421.99
420.69,421.41,420.6125,421.0499,627300,1277390,1,421.08,421.15,420.57,420.6999,420.9901,421.36,420.78,421.08,421.58,421.85,420.9,420.9901,421.99,422.2369,421.41,421.58
421.04,422.31,420.86,422.225,827200,1269206,0,420.69,421.41,420.6125,421.0499,421.08,421.15,420.57,420.6999,420.9901,421.36,420.78,421.08,421.58,421.85,420.9,420.9901
422.225,422.26,420.4,420.52,981200,1258284,1,421.04,422.31,420.86,422.225,420.69,421.41,420.6125,421.0499,421.08,421.15,420.57,420.6999,420.9901,421.36,420.78,421.08
420.54,420.915,420.5,420.62,618100,1235416,0,422.225,422.26,420.4,420.52,421.04,422.31,420.86,422.225,420.69,421.41,420.6125,421.0499,421.08,421.15,420.57,420.6999
420.6107,420.87,420.08,420.09,545100,1211980,0,420.54,420.915,420.5,420.62,422.225,422.26,420.4,420.52,421.04,422.31,420.86,422.225,420.69,421.41,420.6125,421.0499
420.08,420.33,419.58,419.64,856800,1196774,0,420.6107,420.87,420.08,420.09,420.54,420.915,420.5,420.62,422.225,422.26,420.4,420.52,421.04,422.31,420.86,422.225
419.64,419.81,419.32,419.355,671400,1163040,0,420.08,420.33,419.58,419.64,420.6107,420.87,420.08,420.09,420.54,420.915,420.5,420.62,422.225,422.26,420.4,420.52
419.35,419.55,419,419.19,768700,1131756,1,419.64,419.81,419.32,419.355,420.08,420.33,419.58,419.64,420.6107,420.87,420.08,420.09,420.54,420.915,420.5,420.62
419.19,419.54,418.74,419.28,895500,1091212,1,419.35,419.55,419,419.19,419.64,419.81,419.32,419.355,420.08,420.33,419.58,419.64,420.6107,420.87,420.08,420.09
419.28,419.61,418.88,419.4008,1048300,994152,1,419.19,419.54,418.74,419.28,419.35,419.55,419,419.19,419.64,419.81,419.32,419.355,420.08,420.33,419.58,419.64
419.4132,420.57,419.35,420.2348,1009300,966600,0,419.28,419.61,418.88,419.4008,419.19,419.54,418.74,419.28,419.35,419.55,419,419.19,419.64,419.81,419.32,419.355
