Date,Open,High,Low,Close,FW Moving Average 25,RWG
5/18/22 11:50,397.34,397.55,397.16,397.5201,397.7597,White
5/18/22 11:52,397.52,397.79,397.23,397.4,397.6967,White
5/18/22 11:54,397.39,397.43,396.77,396.81,397.5969,Red
5/18/22 11:56,396.82,396.9036,396.29,396.68,397.4969,Red
5/18/22 11:58,396.68,396.92,396.54,396.75,397.4123,White
5/18/22 12:00,396.76,396.85,396.45,396.5,397.3175,Red
5/18/22 12:02,396.51,396.77,396.23,396.638,397.242,White
5/18/22 12:04,396.638,396.685,396.23,396.46,397.1602,White
5/18/22 12:06,396.46,396.65,396.046,396.06,397.0554,Red
5/18/22 12:08,396.06,396.18,395.83,395.93,396.9496,Red
5/18/22 12:10,395.93,395.98,395.69,395.96,396.8533,White
5/18/22 12:12,395.96,396.14,395.58,396.06,396.7719,Green
5/18/22 12:14,396.04,396.18,395.83,396.04,396.6944,White
5/18/22 12:16,396.04,396.48,396,396.32,396.6433,Green
5/18/22 12:18,396.31,396.7899,396.2756,396.6405,396.6211,Green
5/18/22 12:20,396.6405,396.66,396.25,396.31,396.576,White
5/18/22 12:22,396.32,396.47,395.76,395.77,396.4916,Red
5/18/22 12:24,395.77,396,395.22,395.37,396.3809,Red
5/18/22 12:26,395.3844,395.64,395.26,395.47,396.2834,White
5/18/22 12:28,395.47,395.59,395.29,395.56,396.1989,White
5/18/22 12:30,395.56,395.88,395.41,395.64,396.1274,Green
5/18/22 12:32,395.64,395.86,395.34,395.7698,396.0714,White
5/18/22 12:34,395.775,395.92,395.69,395.7789,396.0226,White
5/18/22 12:36,395.77,396.26,395.7107,396.26,396.017,Green
5/18/22 12:38,396.26,396.44,396.11,396.17,396.0084,White
5/18/22 12:40,396.18,396.33,395.78,396.305,396.0138,White
5/18/22 12:42,396.305,396.31,395.95,396.02,396.001,White
5/18/22 12:44,395.97,396.23,395.73,395.95,395.9871,White
5/18/22 12:46,395.97,395.9783,395.61,395.81,395.9651,White
5/18/22 12:48,395.81,396.585,395.8,396.585,396.0053,Green
5/18/22 12:50,396.585,396.62,396.2,396.62,396.0488,Green
5/18/22 12:52,396.61,396.91,396.53,396.775,396.1038,Green
5/18/22 12:54,396.76,397.06,396.74,396.75,396.1565,White
5/18/22 12:56,396.76,396.99,396.72,396.8759,396.2179,White
5/18/22 12:58,396.8759,396.8759,396.57,396.78,396.2695,White
5/18/22 13:00,396.81,397.16,396.8,397.05,396.3392,Green
5/18/22 13:02,397.05,397.05,396.33,396.34,396.351,Red
5/18/22 13:04,396.34,396.5,396.18,396.25,396.3549,Red
5/18/22 13:06,396.25,396.29,395.71,395.78,396.3221,Red
5/18/22 13:08,395.79,395.96,395.285,395.33,396.2563,Red
5/18/22 13:10,395.33,395.35,394.815,394.92,396.163,Red
5/18/22 13:12,394.92,395.08,394.69,394.735,396.0598,Red
5/18/22 13:14,394.73,394.81,394.44,394.59,395.9486,Red
5/18/22 13:16,394.59,394.7,394.36,394.6,395.8405,White
5/18/22 13:18,394.6,394.65,394.18,394.31,395.7128,Red
5/18/22 13:20,394.31,394.5,393.95,394.05,395.569,Red
5/18/22 13:22,394.05,394.7,394.05,394.57,395.4701,Green
5/18/22 13:24,394.57,394.73,394.35,394.375,395.3598,White
5/18/22 13:26,394.38,394.4,394.15,394.18,395.2389,Red
5/18/22 13:28,394.18,394.24,393.941,394.18,395.1244,White
5/18/22 13:30,394.17,394.51,394.17,394.3699,395.0306,Green
5/18/22 13:32,394.36,394.62,394.045,394.57,394.9581,Green
5/18/22 13:34,394.5641,394.6217,394.18,394.24,394.8648,White
5/18/22 13:36,394.24,394.94,394.23,394.63,394.8067,Green
5/18/22 13:38,394.63,394.7,394.42,394.48,394.7406,White
5/18/22 13:40,394.48,394.81,394.42,394.78,394.7042,Green
5/18/22 13:42,394.77,394.7873,394.05,394.07,394.6188,Red
5/18/22 13:44,394.08,394.24,393.65,393.69,394.5125,Red
5/18/22 13:46,393.69,393.815,393.48,393.61,394.4094,Red
5/18/22 13:48,393.61,393.68,393.13,393.19,394.2841,Red
5/18/22 13:50,393.19,393.35,393,393.02,394.1567,Red
5/18/22 13:52,393.02,393.24,392.82,392.91,394.0333,Red
5/18/22 13:54,392.91,392.99,392.6001,392.63,393.8989,Red
5/18/22 13:56,392.63,392.9701,392.46,392.525,393.7675,Red
5/18/22 13:58,392.53,392.99,392.5,392.9683,393.6803,White
5/18/22 14:00,392.9665,393.1,392.72,393.01,393.6036,Green
5/18/22 14:02,393.01,393.32,392.91,392.99,393.5312,White
5/18/22 14:04,392.99,393.21,392.6,392.8299,393.4518,Red
5/18/22 14:06,392.8299,393.28,392.8,393.16,393.4033,White
5/18/22 14:08,393.16,393.16,392.73,392.84,393.3345,White
5/18/22 14:10,392.84,393.22,392.6,393.18,393.2965,Green
5/18/22 14:12,393.18,393.48,392.84,393,393.2473,White
5/18/22 14:14,393,393.09,392.65,392.81,393.1882,Red
5/18/22 14:16,392.81,392.91,392.33,392.52,393.1118,Red
5/18/22 14:18,392.5482,393.47,392.46,393.24,393.0957,Green
5/18/22 14:20,393.24,393.6,393.1701,393.32,393.0888,White
5/18/22 14:22,393.32,393.57,392.902,393.44,393.0943,White
5/18/22 14:24,393.44,393.73,393.14,393.455,393.1044,White
5/18/22 14:26,393.46,393.595,393.1,393.545,393.1239,White
5/18/22 14:28,393.55,393.79,393.35,393.71,393.1594,Green
5/18/22 14:30,393.72,393.82,393.53,393.72,393.198,White
5/18/22 14:32,393.72,393.89,392.91,393.04,393.1876,Red
5/18/22 14:34,393.05,393.22,392.7,392.7201,393.1557,Red
5/18/22 14:36,392.7201,392.81,392.36,392.36,393.0992,Red
5/18/22 14:38,392.36,392.4,391.87,392.043,393.0221,Red
5/18/22 14:40,392.0199,392.53,391.99,392.3,392.9683,White
5/18/22 14:42,392.29,392.78,392.24,392.34,392.9197,White
5/18/22 14:44,392.34,392.46,392.17,392.19,392.8615,Red
5/18/22 14:46,392.19,392.37,392,392.15,392.8014,Red
5/18/22 14:48,392.1399,392.3,391.84,391.85,392.7195,Red
5/18/22 14:50,391.85,392.84,391.47,392.491,392.6903,Green
5/18/22 14:52,392.491,392.82,392.31,392.46,392.6603,White
5/18/22 14:54,392.4499,392.47,392.06,392.26,392.6166,Red
5/18/22 14:56,392.26,392.5,391.85,392.34,392.5807,White
5/18/22 14:58,392.34,392.35,391.94,392.06,392.5259,White
5/18/22 15:00,392.06,392.14,391.43,391.6851,392.4446,Red
5/18/22 15:02,391.69,392.33,391.615,392.02,392.3937,White
5/18/22 15:04,392.02,392.18,391.8,391.82,392.3304,White
5/18/22 15:06,391.82,392.26,391.73,392.13,392.294,White
5/18/22 15:08,392.13,392.6839,391.87,392.51,392.2881,Green
5/18/22 15:10,392.51,392.53,391.86,391.9,392.2374,White
5/18/22 15:12,391.9,392.46,391.83,392.41,392.2303,White
5/18/22 15:14,392.34,392.35,391.74,391.8315,392.182,White
5/18/22 15:16,391.8315,392.17,391.6501,391.97,392.1493,White
5/18/22 15:18,391.96,392.32,391.9,391.9,392.116,White
5/18/22 15:20,391.9,392.03,391.73,391.94,392.0914,White
5/18/22 15:22,391.94,392.34,391.8007,391.9299,392.0715,White
5/18/22 15:24,391.9,391.9,391.17,391.19,391.998,Red
5/18/22 15:26,391.19,391.2,390.91,390.9299,391.9093,Red
5/18/22 15:28,390.9299,391.09,390.72,390.91,391.8235,White
5/18/22 15:30,390.89,391.1,390.7,390.85,391.7365,White
5/18/22 15:32,390.86,391.26,390.72,391,391.6655,White
5/18/22 15:34,391,391.04,390.71,390.94,391.5941,White
5/18/22 15:36,390.945,391.09,390.73,391.07,391.5364,Green
5/18/22 15:38,391.07,392.3,391.03,392.29,391.576,Green
5/18/22 15:40,392.29,392.74,391.88,392.34,391.618,Green
5/18/22 15:42,392.34,392.67,392.08,392.34,391.6605,White
5/18/22 15:44,392.34,392.46,391.23,391.41,391.6318,Red
5/18/22 15:46,391.41,391.84,391.3,391.37,391.6027,White
5/18/22 15:48,391.37,391.59,391.06,391.46,391.5835,White
5/18/22 15:50,391.46,391.56,390.83,391.08,391.5369,White
5/18/22 15:52,391.09,392.0364,390.8,391.315,391.5102,White
5/18/22 15:54,391.32,391.51,390.95,391.01,391.4623,White
5/18/22 15:56,391.02,391.53,390.55,391.46,391.4514,White
5/18/22 15:58,391.435,391.75,390.91,391.46,391.4426,White
5/18/22 16:00,391.47,392.2,391.29,391.89,391.4702,Green
5/19/22 9:32,388.62,389.7,388.47,389.69,391.3285,Red
5/19/22 9:34,389.69,390.61,389.45,390.45,391.2536,Green
5/19/22 9:36,390.44,390.62,389.93,390.47,391.1846,White
5/19/22 9:38,390.47,391.79,390.45,391.64,391.2101,Green
5/19/22 9:40,391.67,391.79,390.44,390.87,391.1772,White
5/19/22 9:42,390.88,391.2169,390.33,390.71,391.1353,White
5/19/22 9:44,390.71,390.88,389.36,389.55,391.008,Red
5/19/22 9:46,389.5354,389.7737,388.68,388.705,390.8206,Red
5/19/22 9:48,388.705,388.89,387.62,387.78,390.569,Red
5/19/22 9:50,387.78,388.03,387.32,387.5187,390.3069,Red
5/19/22 9:52,387.5399,387.86,387.11,387.66,390.0659,White
5/19/22 9:54,387.7,387.89,387.18,387.43,389.8176,White
5/19/22 9:56,387.43,388.9,387.35,388.89,389.6923,Green
5/19/22 9:58,388.89,389.65,388.87,389.025,389.5841,Green
5/19/22 10:00,389.025,389.025,388,388.64,389.4563,Red
5/19/22 10:02,388.63,390.26,388.25,390.26,389.4645,Green
5/19/22 10:04,390.26,391.09,390.1,390.9,389.5284,Green
5/19/22 10:06,390.89,391.05,390.03,390.49,389.5623,White
5/19/22 10:08,390.49,390.5,389.81,389.96,389.5581,Red
5/19/22 10:10,389.96,390.305,389.03,389.56,389.5278,Red
5/19/22 10:12,389.53,390.79,389.37,390.7301,389.5922,Green
5/19/22 10:14,390.73,390.84,389.75,389.82,389.5883,White
5/19/22 10:16,389.8,390.35,389.56,389.9948,389.6016,White
