Date,Open,High,Low,Close,FW Moving Average 25,Volume ,NextHigherorLower
5/5/22 15:40,410.98,412.21,410.77,411.73,411.83,3739900,0
5/5/22 15:45,411.73,412.51,411.38,411.67,411.77,3079200,0
5/5/22 15:50,411.67,412.32,409.91,410.16,411.6,4113700,1
5/5/22 15:55,410.16,414.32,410.16,412.38,411.61,8188400,1
5/5/22 16:00,412.38,414.31,412.35,413.88,411.75,9765100,0
5/6/22 9:35,411.16,411.77,410,410.02,411.58,3200600,0
5/6/22 9:40,410.02,410.05,407.86,408.02,411.28,3463700,0
5/6/22 9:45,408.02,409.18,407.65,407.75,410.96,2862400,0
5/6/22 9:50,407.75,408.15,406.09,407.23,410.63,3112500,0
5/6/22 9:55,407.23,407.67,406.17,406.49,410.26,2754600,0
5/6/22 10:00,406.49,406.95,405.73,406.36,409.9,2756400,1
5/6/22 10:05,406.36,407.23,405.75,406.93,409.61,2757800,1
5/6/22 10:10,406.92,408.75,406.88,407.05,409.35,2936700,1
5/6/22 10:15,407.05,408.72,406.43,408.04,409.17,2202400,1
5/6/22 10:20,408.07,411.61,408.01,410.51,409.2,2981700,1
5/6/22 10:25,410.51,411.21,409.73,410.55,409.24,2837900,0
5/6/22 10:30,410.57,411.57,409.42,409.46,409.19,2117700,0
5/6/22 10:35,409.49,410.72,408.86,408.97,409.13,1540200,0
5/6/22 10:40,408.94,409.26,407.64,408.59,409.04,1679400,1
5/6/22 10:45,408.58,409.82,408.14,409.19,409.01,1225200,1
5/6/22 10:50,409.19,412.1,408.96,411.81,409.19,1960700,1
5/6/22 10:55,411.83,412.52,410.88,412.48,409.41,1515400,1
5/6/22 11:00,412.48,413.48,411.9,412.77,409.66,2105000,0
5/6/22 11:05,412.74,413.06,411.66,411.92,409.82,1231500,1
5/6/22 11:10,411.92,412.39,411.45,412.07,410,983700,1
5/6/22 11:15,412.09,412.93,411.08,412.92,410.24,1021400,1
5/6/22 11:20,412.92,413.9,412.64,413.22,410.49,1436400,1
5/6/22 11:25,413.22,414.8,412.91,414.44,410.84,1688400,0
5/6/22 11:30,414.44,414.5,413.47,413.73,411.12,1430300,0
5/6/22 11:35,413.73,413.96,411.74,411.91,411.25,1988200,0
5/6/22 11:40,411.91,411.96,410.23,410.37,411.27,1428800,1
5/6/22 11:45,410.37,411.19,409.6,410.78,411.32,1333700,1
5/6/22 11:50,410.79,410.98,410,410.82,411.37,917800,0
