Date,Open,High,Low,Close,FW Moving Average 25,RWG
44699.40694,402,402.36,401.83,402.32,405.0621,Green
44699.40833,402.31,402.5,401.97,402.41,404.7731,Green
44699.40972,402.41,402.53,401.9,402.17,404.4831,White
44699.41111,402.18,402.26,401.5,401.92,404.1921,White
44699.4125,401.92,402.35,401.78,402.0807,403.9328,White
44699.41389,402.0901,402.1501,401.58,401.7301,403.6649,Red
44699.41528,401.7401,401.7401,400.89,401.0201,403.3622,Red
44699.41667,401.0301,401.1601,400.8701,401.1601,403.0914,White
44699.41806,401.16,401.82,401.03,401.58,402.8727,Green
44699.41944,401.58,401.83,401.46,401.69,402.6816,White
44699.42083,401.71,402.08,401.45,402.0228,402.5356,Green
44699.42222,402.04,402.12,401.6,401.68,402.3792,White
44699.42361,401.68,401.68,401.029,401.08,402.1926,Red
44699.425,401.08,401.39,400.9,401.17,402.0313,White
44699.42639,401.17,401.459,400.88,401.37,401.905,White
44699.42778,401.36,401.99,401.33,401.9255,401.8402,Green
44699.42917,401.9255,401.98,401.35,401.5622,401.7644,White
44699.43056,401.5622,401.87,401.24,401.43,401.6975,White
44699.43194,401.43,401.93,401.29,401.52,401.6585,White
44699.43333,401.52,401.82,401.1,401.16,401.5974,Red
44699.43472,401.16,401.4795,400.9,401.27,401.552,White
44699.43611,401.27,401.75,401.23,401.45,401.5273,White
44699.4375,401.45,401.52,400.44,400.45,401.4321,Red
44699.43889,400.45,400.77,400.19,400.4999,401.3472,White
44699.44028,400.49,400.67,400.205,400.51,401.2674,White
44699.44167,400.51,400.5499,400.06,400.12,401.1622,Red
44699.44306,400.12,400.31,400.01,400.02,401.0561,Red
44699.44444,400.02,400.44,399.93,400.43,400.9889,Green
44699.44583,400.43,400.62,400.04,400.5898,400.9394,Green
44699.44722,400.5898,400.595,400.33,400.44,400.8824,White
44699.44861,400.44,400.58,400.0829,400.28,400.8181,Red
44699.45,400.29,400.88,400.25,400.6214,400.7846,Green
44699.45139,400.63,401.14,400.615,400.77,400.7637,White
44699.45278,400.78,400.79,400.3212,400.49,400.7225,Red
44699.45417,400.49,400.56,400.18,400.37,400.6754,White
44699.45556,400.37,400.56,400.1849,400.19,400.6186,White
44699.45694,400.19,400.67,400.12,400.6399,400.602,Green
44699.45833,400.6399,400.78,400.46,400.77,400.5985,Green
44699.45972,400.76,400.76,400.14,400.18,400.5507,Red
44699.46111,400.15,400.41,399.86,399.99,400.4913,Red
44699.4625,399.99,400.1,399.76,399.94,400.4323,White
44699.46389,399.935,400.06,399.28,399.66,400.3578,Red
44699.46528,399.66,399.66,399.33,399.35,400.2654,White
44699.46667,399.35,399.35,398.84,399.025,400.1544,Red
44699.46806,399.03,399.04,398.93,399,400.0491,White
44699.46944,399,399.04,398.64,398.975,399.9485,White
44699.47083,398.98,399,398.2401,398.28,399.8016,Red
44699.47222,398.27,398.31,398.05,398.28,399.6644,White
44699.47361,398.28,398.29,397.83,397.84,399.5,Red
44699.475,397.84,397.9,397.5,397.63,399.3277,Red
44699.47639,397.63,397.83,397.29,397.69,399.1688,White
44699.47778,397.7,397.74,397.37,397.47,399.0005,White
44699.47917,397.48,397.48,396.09,397.0341,398.8065,Red
44699.48056,397.0341,397.3159,396.53,397.2,398.6357,White
44699.48194,397.2,397.37,397.01,397.2,398.4754,White
44699.48333,397.19,397.59,396.99,397.3938,398.3399,Green
44699.48472,397.3938,397.84,397.27,397.82,398.2461,Green
44699.48611,397.82,397.87,397.43,397.44,398.1317,White
44699.4875,397.44,397.97,397.36,397.8722,398.0607,Green
44699.48889,397.88,398.21,397.7401,397.765,397.9896,White
44699.49028,397.765,398.14,397.56,397.565,397.9111,Red
44699.49167,397.56,397.79,397.29,397.34,397.8234,Red
44699.49306,397.34,397.55,397.16,397.5201,397.7597,White
44699.49444,397.52,397.79,397.23,397.4,397.6967,White
44699.49583,397.39,397.43,396.77,396.81,397.5969,Red
44699.49722,396.82,396.9036,396.29,396.68,397.4969,Red
44699.49861,396.68,396.92,396.54,396.75,397.4123,White
44699.5,396.76,396.85,396.45,396.5,397.3175,Red
44699.50139,396.51,396.77,396.23,396.638,397.242,White
44699.50278,396.638,396.685,396.23,396.46,397.1602,White
44699.50417,396.46,396.65,396.046,396.06,397.0554,Red
44699.50556,396.06,396.18,395.83,395.93,396.9496,Red
44699.50694,395.93,395.98,395.69,395.96,396.8533,White
44699.50833,395.96,396.14,395.58,396.06,396.7719,Green
44699.50972,396.04,396.18,395.83,396.04,396.6944,White
44699.51111,396.04,396.48,396,396.32,396.6433,Green
44699.5125,396.31,396.7899,396.2756,396.6405,396.6211,Green
44699.51389,396.6405,396.66,396.25,396.31,396.576,White
44699.51528,396.32,396.47,395.76,395.77,396.4916,Red
44699.51667,395.77,396,395.22,395.37,396.3809,Red
44699.51806,395.3844,395.64,395.26,395.47,396.2834,White
44699.51944,395.47,395.59,395.29,395.56,396.1989,White
44699.52083,395.56,395.88,395.41,395.64,396.1274,Green
44699.52222,395.64,395.86,395.34,395.7698,396.0714,White
44699.52361,395.775,395.92,395.69,395.7789,396.0226,White
44699.525,395.77,396.26,395.7107,396.26,396.017,Green
44699.52639,396.26,396.44,396.11,396.17,396.0084,White
44699.52778,396.18,396.33,395.78,396.305,396.0138,White
44699.52917,396.305,396.31,395.95,396.02,396.001,White
44699.53056,395.97,396.23,395.73,395.95,395.9871,White
44699.53194,395.97,395.9783,395.61,395.81,395.9651,White
44699.53333,395.81,396.585,395.8,396.585,396.0053,Green
44699.53472,396.585,396.62,396.2,396.62,396.0488,Green
44699.53611,396.61,396.91,396.53,396.775,396.1038,Green
44699.5375,396.76,397.06,396.74,396.75,396.1565,White
44699.53889,396.76,396.99,396.72,396.8759,396.2179,White
44699.54028,396.8759,396.8759,396.57,396.78,396.2695,White
44699.54167,396.81,397.16,396.8,397.05,396.3392,Green
44699.54306,397.05,397.05,396.33,396.34,396.351,Red
44699.54444,396.34,396.5,396.18,396.25,396.3549,Red
44699.54583,396.25,396.29,395.71,395.78,396.3221,Red
44699.54722,395.79,395.96,395.285,395.33,396.2563,Red
44699.54861,395.33,395.35,394.815,394.92,396.163,Red
44699.55,394.92,395.08,394.69,394.735,396.0598,Red
44699.55139,394.73,394.81,394.44,394.59,395.9486,Red
44699.55278,394.59,394.7,394.36,394.6,395.8405,White
44699.55417,394.6,394.65,394.18,394.31,395.7128,Red
44699.55556,394.31,394.5,393.95,394.05,395.569,Red
44699.55694,394.05,394.7,394.05,394.57,395.4701,Green
44699.55833,394.57,394.73,394.35,394.375,395.3598,White
44699.55972,394.38,394.4,394.15,394.18,395.2389,Red
44699.56111,394.18,394.24,393.941,394.18,395.1244,White
44699.5625,394.17,394.51,394.17,394.3699,395.0306,Green
44699.56389,394.36,394.62,394.045,394.57,394.9581,Green
44699.56528,394.5641,394.6217,394.18,394.24,394.8648,White
44699.56667,394.24,394.94,394.23,394.63,394.8067,Green
44699.56806,394.63,394.7,394.42,394.48,394.7406,White
44699.56944,394.48,394.81,394.42,394.78,394.7042,Green
44699.57083,394.77,394.7873,394.05,394.07,394.6188,Red
44699.57222,394.08,394.24,393.65,393.69,394.5125,Red
44699.57361,393.69,393.815,393.48,393.61,394.4094,Red
44699.575,393.61,393.68,393.13,393.19,394.2841,Red
44699.57639,393.19,393.35,393,393.02,394.1567,Red
44699.57778,393.02,393.24,392.82,392.91,394.0333,Red
44699.57917,392.91,392.99,392.6001,392.63,393.8989,Red
44699.58056,392.63,392.9701,392.46,392.525,393.7675,Red
44699.58194,392.53,392.99,392.5,392.9683,393.6803,White
44699.58333,392.9665,393.1,392.72,393.01,393.6036,Green
44699.58472,393.01,393.32,392.91,392.99,393.5312,White
44699.58611,392.99,393.21,392.6,392.8299,393.4518,Red
44699.5875,392.8299,393.28,392.8,393.16,393.4033,White
